station,time,dis,max_dt_3days,district,flood,thres_discharge,predicted
G5171,2003-10-08,118.35098,128.8152313232422,turkana,0.0,0.0,1
G5171,2003-10-09,113.10699,126.02896881103516,turkana,0.0,0.0,1
G5171,2003-10-10,107.26047,122.65340423583984,turkana,0.0,0.0,1
G5171,2003-10-11,102.50985,118.35098266601562,turkana,0.0,0.0,1
G5171,2003-10-12,101.56233,118.42298889160156,turkana,0.0,0.0,1
G5171,2003-10-13,107.22576,180.92138671875,turkana,0.0,0.0,1
G5171,2003-10-14,113.90307,321.7947998046875,turkana,0.0,0.0,1
G5171,2003-10-15,118.42299,321.7947998046875,turkana,0.0,0.0,1
G5171,2003-10-16,180.92139,321.7947998046875,turkana,0.0,0.0,1
G5171,2003-10-17,321.7948,321.7947998046875,turkana,0.0,0.0,1
G5171,2003-10-18,316.13052,321.7947998046875,turkana,0.0,0.0,1
G5171,2003-10-19,243.63571,321.7947998046875,turkana,0.0,0.0,1
G5171,2003-10-20,183.69293,321.7947998046875,turkana,0.0,0.0,1
G5171,2003-10-21,143.27493,316.1305236816406,turkana,0.0,0.0,1
G5171,2003-10-22,116.75664,243.63571166992188,turkana,0.0,0.0,1
G5171,2003-10-23,98.738914,183.69293212890625,turkana,0.0,0.0,1
G5171,2003-10-24,86.04472,143.27493286132812,turkana,0.0,0.0,1
G5171,2003-10-25,76.94165,116.75663757324219,turkana,0.0,0.0,1
G5171,2003-10-26,69.82101,98.7389144897461,turkana,0.0,0.0,1
G5171,2003-10-27,64.16757,86.04472351074219,turkana,0.0,0.0,1
G5171,2003-10-28,59.7287,76.941650390625,turkana,0.0,0.0,1
G5171,2003-10-29,55.956154,69.82100677490234,turkana,0.0,0.0,1
G5171,2003-10-30,52.96088,64.16757202148438,turkana,0.0,0.0,1
G5171,2003-10-31,50.386738,59.72869873046875,turkana,0.0,0.0,1
G5171,2003-11-01,48.087685,55.956153869628906,turkana,0.0,0.0,1
G5171,2003-11-02,46.05432,52.960880279541016,turkana,0.0,0.0,1
G5171,2003-11-03,44.400707,50.38673782348633,turkana,0.0,0.0,1
G5171,2003-11-04,42.73976,48.087684631347656,turkana,0.0,0.0,1
G5171,2003-11-05,41.65267,46.0543212890625,turkana,0.0,0.0,1
G5171,2003-11-06,40.31883,44.40070724487305,turkana,0.0,0.0,1
G5171,2003-11-07,39.27842,42.73976135253906,turkana,0.0,0.0,1
G5171,2003-11-08,38.275414,41.652671813964844,turkana,0.0,0.0,1
G5171,2003-11-09,37.698605,40.31882858276367,turkana,0.0,0.0,1
G5171,2003-11-10,36.767677,39.278419494628906,turkana,0.0,0.0,1
G5171,2003-11-11,35.944168,38.275413513183594,turkana,0.0,0.0,1
G5171,2003-11-12,35.234543,37.698604583740234,turkana,0.0,0.0,1
G5171,2003-11-13,34.39067,36.767677307128906,turkana,0.0,0.0,1
G5171,2003-11-14,33.66077,35.94416809082031,turkana,0.0,0.0,1
G5171,2003-11-15,33.159595,35.23454284667969,turkana,0.0,0.0,1
G5171,2003-11-16,33.094624,34.39067077636719,turkana,0.0,0.0,1
G5171,2003-11-17,33.28511,33.660770416259766,turkana,0.0,0.0,1
G5171,2003-11-18,32.95284,33.28511047363281,turkana,0.0,0.0,1
G5171,2003-11-19,31.971813,33.28511047363281,turkana,0.0,0.0,1
G5171,2003-11-20,30.739117,33.28511047363281,turkana,0.0,0.0,1
G5171,2003-11-21,29.546705,32.95283889770508,turkana,0.0,0.0,1
G5171,2003-11-22,28.239788,31.971813201904297,turkana,0.0,0.0,1
G5171,2003-11-23,27.009396,30.739116668701172,turkana,0.0,0.0,1
G5171,2003-11-24,25.875721,29.54670524597168,turkana,0.0,0.0,1
G5171,2003-11-25,24.691313,28.239788055419922,turkana,0.0,0.0,1
G5171,2003-11-26,23.464613,27.009395599365234,turkana,0.0,0.0,1
G5171,2003-11-27,22.469757,25.875720977783203,turkana,0.0,0.0,1
G5171,2003-11-28,21.902344,24.691312789916992,turkana,0.0,0.0,1
G5171,2003-11-29,21.456991,23.46461296081543,turkana,0.0,0.0,1
G5171,2003-11-30,21.177616,22.469757080078125,turkana,0.0,0.0,1
G5171,2003-12-01,20.716925,21.90234375,turkana,0.0,0.0,1
G5171,2003-12-02,20.061182,21.45699119567871,turkana,0.0,0.0,1
G5171,2003-12-03,19.340803,21.177616119384766,turkana,0.0,0.0,1
G5171,2003-12-04,18.514688,20.7169246673584,turkana,0.0,0.0,1
G5171,2003-12-05,17.76679,20.061182022094727,turkana,0.0,0.0,1
G5171,2003-12-06,17.092815,21.83644676208496,turkana,0.0,0.0,1
G5171,2003-12-07,16.911367,148.33567810058594,turkana,0.0,0.0,1
G5171,2003-12-08,16.688107,266.83624267578125,turkana,0.0,0.0,1
G5171,2003-12-09,21.836447,266.83624267578125,turkana,0.0,0.0,1
G5171,2003-12-10,148.33568,266.83624267578125,turkana,0.0,0.0,1
G5171,2003-12-11,266.83624,266.83624267578125,turkana,0.0,0.0,1
G5171,2003-12-12,219.88533,266.83624267578125,turkana,0.0,0.0,1
G5171,2003-12-13,160.80301,266.83624267578125,turkana,0.0,0.0,1
G5171,2003-12-14,118.59117,266.83624267578125,turkana,0.0,0.0,1
G5171,2003-12-15,90.31389,219.8853302001953,turkana,0.0,0.0,1
